cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	nt_lekon	nt_simalur	Concepticon_Gloss	Concepticon_ID	concept_url
the Mentawai (Pagai & Sipora) list (no date)	1	toeboe	NA	lichaam	body	badan, tubuh	4	4	1	FALSE												BODY	1480	https://concepticon.clld.org/parameters/1480
the Mentawai (Pagai & Sipora) list (no date)	2	oete	NA	hoofd	head	kepala	5	5	2	TRUE												HEAD	1256	https://concepticon.clld.org/parameters/1256
the Mentawai (Pagai & Sipora) list (no date)	3	mata	NA	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE												FACE	1560	https://concepticon.clld.org/parameters/1560
the Mentawai (Pagai & Sipora) list (no date)	4	boekkoe	NA	voorhoofd	forehead	dahi	24	25	4	FALSE												FOREHEAD	123	https://concepticon.clld.org/parameters/123
the Mentawai (Pagai & Sipora) list (no date)	5	lakoepat	NA	schedel	skull	tempurung kepala	26	27	5	FALSE												SKULL	1605	https://concepticon.clld.org/parameters/1605
the Mentawai (Pagai & Sipora) list (no date)	6	alai	NA	hoofdhaar	hair	rambut	72	73	6	TRUE												HAIR	1040	https://concepticon.clld.org/parameters/1040
the Mentawai (Pagai & Sipora) list (no date)	8	le'lekat	NA	kruin (v.h.hoofd)	crown	hulu kepala	7	7	8	FALSE												CROWN (OF HEAD)	1943	https://concepticon.clld.org/parameters/1943
the Mentawai (Pagai & Sipora) list (no date)	9	talinga	NA	oor	ear	telinga	8	8	9	TRUE												EAR	1247	https://concepticon.clld.org/parameters/1247
the Mentawai (Pagai & Sipora) list (no date)	11	mata	NA	oog	eye	mata	9	9	11	TRUE												EYE	1248	https://concepticon.clld.org/parameters/1248
the Mentawai (Pagai & Sipora) list (no date)	15	akkekeiloe	NA	wenkbrauw	eyebrow	alis (tunggal)	25	26	-	FALSE												EYEBROW	1173	https://concepticon.clld.org/parameters/1173
the Mentawai (Pagai & Sipora) list (no date)	17	eloe	NA	traan	tear	air mata (tunggal)	10	10	-	FALSE												TEAR (OF EYE)	1651	https://concepticon.clld.org/parameters/1651
the Mentawai (Pagai & Sipora) list (no date)	18	asak	NA	neus	nose	hidung	11	11	16	TRUE												NOSE	1221	https://concepticon.clld.org/parameters/1221
the Mentawai (Pagai & Sipora) list (no date)	20	singoe	NA	snot	mucus	ingus	-	12	18	FALSE												NASAL MUCUS (SNOT)	208	https://concepticon.clld.org/parameters/208
the Mentawai (Pagai & Sipora) list (no date)	21	bailat	NA	wang	cheek	pipi	23	24	19	FALSE												CHEEK	1730	https://concepticon.clld.org/parameters/1730
the Mentawai (Pagai & Sipora) list (no date)	22	ngoengoe	NA	mond	mouth	mulut	12	13	-	TRUE												MOUTH	674	https://concepticon.clld.org/parameters/674
the Mentawai (Pagai & Sipora) list (no date)	25	bibo	NA	lippen	lips	bibir (jamak)	13	14	-	FALSE												LIP	478	https://concepticon.clld.org/parameters/478
the Mentawai (Pagai & Sipora) list (no date)	27	boeloet ngoengoe	NA	knevel	moustache	kumis	21	22	23	FALSE												MOUSTACHE	1165	https://concepticon.clld.org/parameters/1165
the Mentawai (Pagai & Sipora) list (no date)	28	boeloet ngoengoe	NA	sik	goatee	janggut seperti, janggut kambing	22	23	-	FALSE												BEARD	678	https://concepticon.clld.org/parameters/678
the Mentawai (Pagai & Sipora) list (no date)	29	ba'kala	NA	kin	chin	dagu	19	20	24	FALSE												CHIN	1510	https://concepticon.clld.org/parameters/1510
the Mentawai (Pagai & Sipora) list (no date)	30	boeloet ngoengoe	NA	baard	beard	janggut	20	21	25	FALSE												BEARD	678	https://concepticon.clld.org/parameters/678
the Mentawai (Pagai & Sipora) list (no date)	31	lila	NA	tong	tongue	lidah	15	16	26	TRUE												TONGUE	1205	https://concepticon.clld.org/parameters/1205
the Mentawai (Pagai & Sipora) list (no date)	33	son	NA	tand	tooth	gigi	17	18	28	TRUE												TOOTH	1380	https://concepticon.clld.org/parameters/1380
the Mentawai (Pagai & Sipora) list (no date)	34	ngat ngaret	NA	kies	molar	geraham	18	19	29	FALSE												MOLAR TOOTH	1049	https://concepticon.clld.org/parameters/1049
the Mentawai (Pagai & Sipora) list (no date)	35	koelit son	NA	tandvlees	gums	gusi	-	-	30	FALSE												GUMS	139	https://concepticon.clld.org/parameters/139
the Mentawai (Pagai & Sipora) list (no date)	37	tolou lolokad	NA	keel	throat	kerongkongan	14	15	32	FALSE												THROAT	1346	https://concepticon.clld.org/parameters/1346
the Mentawai (Pagai & Sipora) list (no date)	38	lolokkat	NA	hals	neck	leher	27	28	33	TRUE												NECK	1333	https://concepticon.clld.org/parameters/1333
the Mentawai (Pagai & Sipora) list (no date)	41	roeroekad	NA	borsten (mannen)	chest, breast (male)	dada (laki-laki, jamak)	34	36	-	TRUE	breast											CHEST	1592	https://concepticon.clld.org/parameters/1592
the Mentawai (Pagai & Sipora) list (no date)	42	tottot	NA	borsten (vrouwen)	breasts (female)	dada (perempuan, jamak)	34	36	-	TRUE	breast	typo: originally <perenpuan> in the Indonesian gloss										BREAST	1402	https://concepticon.clld.org/parameters/1402
the Mentawai (Pagai & Sipora) list (no date)	46	soeat tottot	NA	melk	breast milk	air susu	36	38	39	FALSE												BREAST MILK	3912	https://concepticon.clld.org/parameters/3912
the Mentawai (Pagai & Sipora) list (no date)	48	moetottot	NA	zuigen <aan de borst>	to suck at the breast	menyusu	38	39	40	FALSE												SUCKLE (BREASTFEED, NURSE)	2472	https://concepticon.clld.org/parameters/2472
the Mentawai (Pagai & Sipora) list (no date)	50	oesoe	NA	rib	rib	tulang rusuk	69	70	42	FALSE												RIB	801	https://concepticon.clld.org/parameters/801
the Mentawai (Pagai & Sipora) list (no date)	52	teinoeng	NA	hart	heart	jantung	29	31	44	TRUE												HEART	1223	https://concepticon.clld.org/parameters/1223
the Mentawai (Pagai & Sipora) list (no date)	53	baloegoe	NA	maag	stomach	lambung	28	30	-	FALSE												STOMACH	819	https://concepticon.clld.org/parameters/819
the Mentawai (Pagai & Sipora) list (no date)	54	tinanai	NA	bulk	belly	perut	31	33	45	TRUE												BELLY	1251	https://concepticon.clld.org/parameters/1251
the Mentawai (Pagai & Sipora) list (no date)	56	atei	NA	lever	liver	hati	30	32	47	TRUE												LIVER	1224	https://concepticon.clld.org/parameters/1224
the Mentawai (Pagai & Sipora) list (no date)	57	lappegoe	NA	gal	bile	empedu	-	29	48	FALSE												BILE	1780	https://concepticon.clld.org/parameters/1780
the Mentawai (Pagai & Sipora) list (no date)	61	poesoe	NA	navel	navel	pusat	32	34	52	FALSE												NAVEL	1838	https://concepticon.clld.org/parameters/1838
the Mentawai (Pagai & Sipora) list (no date)	62	poesoe	NA	navelstreng	umbilical cord	tali pusat	33	35	53	FALSE		ocr error as tall pusat										UMBILICAL CORD	2663	https://concepticon.clld.org/parameters/2663
the Mentawai (Pagai & Sipora) list (no date)	63	teitei	NA	rug	back	belakang, punggung	39	40	54	TRUE												BACK	1291	https://concepticon.clld.org/parameters/1291
the Mentawai (Pagai & Sipora) list (no date)	66	sikeilik	NA	schouderblad	shoulderblade	tulang belikat	43	44	-	FALSE												SHOULDERBLADE	172	https://concepticon.clld.org/parameters/172
the Mentawai (Pagai & Sipora) list (no date)	68	tambaut	NA	bil	buttock	pantat bagian kiri atau kanan	45	46	-	FALSE		ocr error as belgian but also fixed the Indonesian spelling to bagian										BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Mentawai (Pagai & Sipora) list (no date)	69	matat baut	NA	achterste	posterior, buttocks	pantat	44	45	-	FALSE												BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Mentawai (Pagai & Sipora) list (no date)	69	matat oen	NA	achterste	posterior, buttocks	pantat	44	45	-	FALSE												BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Mentawai (Pagai & Sipora) list (no date)	69	matat oet	NA	achterste	posterior, buttocks	pantat	44	45	-	FALSE												BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Mentawai (Pagai & Sipora) list (no date)	70	tokoi	NA	stuit	tailbone, coccyx	tulang tungging, tulang ekor	46	47	57	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
